SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team3WithRofVegeta_metrics_34,Baseline3,0,26346985.0,477619.0,7,2,0,0
team3WithRofVegeta_metrics_35,Baseline3,0,22206802.0,439553.0,6,2,0,0
team3WithRofVegeta_metrics_36,Baseline3,0,13715402.0,443909.0,5,2,0,0
team3WithRofVegeta_metrics_37,Baseline3,1,44484435.0,410290.0,8,2,0,0
team3WithRofVegeta_metrics_38,Baseline3,1,44453744.0,693342.0,10,2,1,0
team3WithRofVegeta_metrics_39,Baseline3,0,41972749.0,1032827.0,9,2,1,0
team3WithRofVegeta_metrics_4,Baseline3,1,44369865.0,481559.0,9,2,1,0
team3WithRofVegeta_metrics_40,Baseline3,0,33477151.0,863966.0,7,2,1,0
team3WithRofVegeta_metrics_41,Baseline3,0,24914094.0,526822.0,6,2,0,0
team3WithRofVegeta_metrics_42,Baseline3,0,35217015.0,487662.0,6,2,0,0
team3WithRofVegeta_metrics_43,Baseline3,0,20673738.0,473835.0,5,2,0,0
team3WithRofVegeta_metrics_44,Baseline3,1,44820922.0,629704.0,9,2,1,0
team3WithRofVegeta_metrics_45,Baseline3,0,26765973.0,475461.0,6,2,0,0
team3WithRofVegeta_metrics_46,Baseline3,1,44096678.0,692528.0,9,2,1,0
team3WithRofVegeta_metrics_47,Baseline3,1,44003335.0,203599.0,9,2,0,0
team3WithRofVegeta_metrics_48,Baseline3,1,43712961.0,628876.0,9,2,1,0
team3WithRofVegeta_metrics_49,Baseline3,0,32349298.0,839650.0,8,2,1,0
team3WithRofVegeta_metrics_5,Baseline3,0,31143434.0,864161.0,7,2,1,0
team3WithRofVegeta_metrics_50,Baseline3,1,45265891.0,666197.0,9,2,1,0
team3WithRofVegeta_metrics_51,Baseline3,1,44277470.0,775971.0,9,2,1,0
team3WithRofVegeta_metrics_52,Baseline3,0,36157339.0,884175.0,7,2,1,0
team3WithRofVegeta_metrics_53,Baseline3,1,44272209.0,722075.0,9,2,1,0
team3WithRofVegeta_metrics_54,Baseline3,1,46200651.0,241635.0,9,2,0,0
team3WithRofVegeta_metrics_55,Baseline3,0,42251434.0,769909.0,9,2,1,0
team3WithRofVegeta_metrics_56,Baseline3,0,33442682.0,509909.0,6,2,0,0
